grid,ritmo_representativo_pct,duracao_mediana_pit_convencional,qtd_pit_stops,qtd_compostos_distintos,voltas_stint_medio,air_temp_media,track_temp_media,humidity_media,pressure_media,wind_speed_medio,primeiro_composto_HARD,primeiro_composto_INTERMEDIATE,primeiro_composto_MEDIUM,primeiro_composto_SOFT,primeiro_composto_SUPERSOFT,primeiro_composto_None,composto_mais_utilizado_HARD,composto_mais_utilizado_INTERMEDIATE,composto_mais_utilizado_MEDIUM,composto_mais_utilizado_SOFT,composto_mais_utilizado_SUPERSOFT,composto_mais_utilizado_None,rainfall_ocorreu
11.0,-0.01931157562479191,30.125500000000002,2.0,2.0,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12.0,0.031941228140230926,23.3395,2.0,2.0,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13.0,0.2558311335444263,23.344,3.0,3.0,17.75,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14.0,-1.1743695205108873,23.004,2.0,3.0,22.0,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15.0,0.11009667024703962,23.110500000000002,2.0,2.0,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16.0,0.23104985812727463,23.0685,2.0,2.0,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17.0,0.2587935613245884,24.0935,2.0,2.0,22.0,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18.0,1.765346347467811,22.5,3.0,2.0,17.75,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19.0,2.456822518577939,24.367,4.0,3.0,14.0,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20.0,0.04124391264481719,22.77,1.0,2.0,35.5,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.06369950012674597,20.7145,4.0,2.0,14.0,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,-1.7181771927306744,20.3775,4.0,2.0,14.2,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,-2.006051776308415,20.319000000000003,4.0,2.0,14.2,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,-0.9159176993836726,20.6025,4.0,2.0,14.2,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,-1.8156166178745659,22.656,5.0,3.0,11.833333333333334,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.2366653262223961,19.176,5.0,2.0,11.666666666666666,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,-1.0106157112526493,20.305,4.0,2.0,14.2,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.0,-0.42086692200234976,21.239,4.0,2.0,14.0,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.01064863497810542,19.285,3.0,2.0,17.5,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.034850404434594306,20.5425,4.0,2.0,14.0,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10.0,-2.0990686860460572,20.662,4.0,2.0,14.2,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,-0.25319357063766645,19.732,3.0,2.0,12.25,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12.0,0.10954058940755296,17.751,3.0,2.0,17.5,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.543086135233628,20.3795,4.0,2.0,14.0,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
